,順位,名称,小見出し,詳細,住所,最寄駅,最安値,クチコミ総合,詳細リンク
0,第1位,季の湯雪月花,全室檜の露天風呂付＆無料貸切風呂♪カップル、グループに人気宿★,全室露天風呂付客室☆強羅駅から徒歩1分♪当館目の前のバス停よりアクセス良好♪2つの源泉☆大浴場・3つの無料貸切風呂・炭酸泉で湯めぐり三昧！色浴衣、湯上りドリンク、夜鳴きそば等無料サービスも充実♪,神奈川県足柄下郡箱根町強羅１３００−３４,強羅,"11,000円",4.1,https://www.jalan.net/yad371898/
1,第2位,箱根湯本温泉ホテル南風荘,◆おかげさまで3年連続じゃらんアワード受賞☆関東甲信越エリア1位,箱根湯本温泉に佇むホテル、温泉はお肌と身体に優しいアルカリ性単純泉！お部屋食や温泉露天風呂付のお部屋・記念日プラン等色々なタイプ・プランをご用意しています。お料理もさがみの素材を中心にご用意♪,神奈川県足柄下郡箱根町湯本茶屋１７９,箱根湯本,"9,900円",4.6,https://www.jalan.net/yad385995/
2,第3位,鬼怒川温泉あさや,じゃらんアワード2019【売れた宿・泊まって良かった宿大賞】受賞☆,夢と感動、思い出の旅,栃木県日光市鬼怒川温泉滝813,鬼怒川温泉/鬼怒川公園,"15,400円",4.6,https://www.jalan.net/yad338142/
3,第4位,仙台秋保温泉ホテル瑞鳳（ずいほう）,じゃらんOfTheYear2019受賞 10年連続じゃらん東北売上No.1の人気宿,秋保名所「磊々峡」を眼下に見渡す風光明媚な佇まい。,宮城県仙台市太白区秋保町湯元字除２６−１,,"9,000円",4.5,https://www.jalan.net/yad309236/
4,第5位,洞爺サンパレスリゾート＆スパ,口コミお風呂4.6点獲得！絶景露天風呂が自慢のリゾートホテル。,徹底した衛生管理と新たなコンセプトのもと、五感を満たすレストラン「パレシオグランデ」で旬のお料理を。NEWセルフロウリュサウナオープン！※5/16〜31まで「洞爺湖ロングラン花火大会」は中止。,北海道有珠郡壮瞥町洞爺湖温泉７−１,洞爺,"8,250円",4.1,https://www.jalan.net/yad326385/
5,第6位,箱根湯本温泉天成園,安心・安全！新型コロナウィルス対策をできる限り講じております！,箱根の山々に囲まれた絶景屋上露天風呂で癒しの湯浴み。お食事なしの日帰り旅行も大歓迎！,足柄下郡箱根町湯本682,箱根湯本,"11,120円",4.1,https://www.jalan.net/yad330299/
6,第7位,下呂温泉水明館,★５０００円クーポン配布中★１４時イン１１時アウト贅沢ステイ★,◆多彩な館内施設が自慢◆３つの大浴場(1つは24時間)、３種のレストラン、バー、プール＆ジム、タレントショー、カラオケ、館内美術品ツアー、岩盤浴、エステ(酸素カプセルが人気♪)、貸切風呂,下呂市幸田1268,下呂,"8,800円",4.2,https://www.jalan.net/yad328767/
7,第8位,湯の川プリンスホテル 渚亭,温泉旅なら、大浴場より 【露天風呂付き客室満喫】 はいかが？,こんな時こそ、巣篭り温泉ステイを楽しんで欲しい！,函館市湯川町1丁目2番25号,,"7,800円",4.5,https://www.jalan.net/yad324568/
8,第9位,草津温泉 ホテル櫻井,アワード受賞｜源泉100％かけ流し温泉と湯もみショーが楽しめる宿,◆当館では新型コロナウィルス感染拡大防止策を実施しております◆,群馬県吾妻郡草津町大字草津４６５−４,長野原草津口,"11,000円",4.5,https://www.jalan.net/yad310401/
9,第10位,南紀勝浦温泉ホテル浦島,絶景の大洞窟温泉と温泉巡りが自慢の宿,2020年 7月1日から営業を再開しました。,和歌山県東牟婁郡那智勝浦町勝浦１１６５−２,紀伊勝浦,"6,600円",4.2,https://www.jalan.net/yad324016/
